Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,184,5,5563.56,1,1,4,6,Potential
AA-10375,19,9,1056.39,4,4,1,9,Loyal
AA-10480,259,4,1790.5120000000002,1,1,2,4,At Risk
AA-10645,55,6,5086.9349999999995,3,2,4,9,Loyal
AB-10015,415,3,886.156,1,1,1,3,Lost
AB-10060,54,8,7755.62,3,3,4,10,Champion
AB-10105,41,10,14473.570999999998,3,4,4,11,Champion
AB-10150,41,5,966.71,3,1,1,5,At Risk
AB-10165,25,8,1113.838,4,3,1,8,Loyal
AB-10255,166,9,914.5319999999999,2,4,1,7,Potential
AB-10600,50,4,1515.862,3,1,2,6,Potential
AC-10420,232,3,925.8,1,1,1,3,Lost
AC-10450,11,7,5527.846,4,3,4,11,Champion
AC-10615,6,5,2537.6859999999997,4,1,3,8,Loyal
AC-10660,282,5,657.316,1,1,1,3,Lost
AD-10180,29,8,6106.88,4,3,4,11,Champion
AF-10870,41,7,2052.908,3,3,2,8,Loyal
AF-10885,415,4,861.565,1,1,1,3,Lost
AG-10270,278,5,2582.898,1,2,3,6,Potential
AG-10300,118,4,367.548,2,1,1,4,At Risk
AG-10330,8,5,660.972,4,2,1,7,Potential
AG-10390,114,5,200.945,2,2,1,5,At Risk
AG-10495,78,8,2356.855,2,3,3,8,Loyal
AG-10525,845,4,1455.038,1,1,2,4,At Risk
AG-10675,97,7,3489.0396000000005,2,3,3,8,Loyal
AG-10765,77,4,170.584,2,1,1,4,At Risk
AG-10900,96,10,4510.797,2,4,4,10,Champion
AH-10030,12,7,1744.7,4,3,2,9,Loyal
AH-10075,34,10,3250.337,3,4,3,10,Champion
AH-10120,60,7,1735.5140000000001,3,3,2,8,Loyal
AH-10195,55,4,1587.452,3,1,2,6,Potential
AH-10210,6,9,4805.344,4,4,4,12,Champion
AH-10465,230,5,2495.3916,1,2,3,6,Potential
AH-10585,21,4,738.504,4,1,1,6,Potential
AH-10690,410,12,7888.294,1,4,4,9,Loyal
AI-10855,13,10,4375.786,4,4,4,12,Champion
AJ-10780,75,7,4867.344,3,3,4,10,Champion
AJ-10795,166,7,4501.391,2,3,4,9,Loyal
AJ-10945,85,7,1839.24,2,3,2,7,Potential
AJ-10960,74,3,629.2479999999999,3,1,1,5,At Risk
AM-10360,28,5,814.012,4,2,1,7,Potential
AM-10705,162,8,5664.022,2,3,4,9,Loyal
AO-10810,501,1,161.28,1,1,1,3,Lost
AP-10720,41,8,1638.554,3,3,2,8,Loyal
AP-10915,98,10,3323.556,2,4,3,9,Loyal
AR-10345,111,4,1055.694,2,1,1,4,At Risk
